// Compost colors for ancientcurses. You may add your own colors, change existing ones, or remove colors that aren't needed.
ancient_alexandrite, #e8a7ff
ancient_bismuth, #96a7c9
ancient_chrysoberyl, #f7ff55
broken_amethyst, #b587f1
broken_diamond, #6ffffc
broken_emerald, #2fe35f
broken_ruby, #ff6868
broken_sapphire, #6f9dff
broken_topaz, #ffbf41
cursed_pearl, #c02f2f
deprecophobia_music_disc, #4e585e
golden_amulet, #ffbf51
perfect_amethyst, #ddacff
perfect_diamond, #87ffff
perfect_emerald, #57fe87
perfect_ruby, #ff8383
perfect_sapphire, #aad3ff
perfect_topaz, #ffdd5e
polished_amethyst, #cd9eff
polished_diamond, #6cfffa
polished_emerald, #4af076
polished_ruby, #ff6e6e
polished_sapphire, #93beff
polished_topaz, #ffcd4b
rotclump, #808339
sconced_cursed_torch, #93667f
sconced_redstone_torch, #976661
sconced_soul_torch, #7a8a86
sconced_torch, #9b8769
sconced_unlit_soul_torch, #695e58
sconced_unlit_torch, #6c625c
