// Compost colors for dawnoftimebuilder. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_lattice, #ffffff
ancientarchi, #ffffff
birch_lattice, #ffffff
camellia_leaves, #feffd2
camellia_seeds, #ffffff
charred_spruce_door, #251e14
charred_spruce_lattice, #ffffff
charred_spruce_shutters, #edeae7
charred_spruce_tall_shutters, #756f68
clay_tile, #be705c
clay_tile_black, #736966
clay_tile_blue, #5a6fac
clay_tile_cyan, #52bbd2
clay_tile_orange, #f4ab79
clay_tile_white, #fff8eb
commelina, #f1ffff
crimson_lattice, #ffffff
dark_oak_lattice, #ffffff
grape, #bcb6bc
grape_seeds, #bcbfaf
gray_clay_roof_tile, #c6c6c6
jungle_lattice, #ffffff
lattice_glass_pane, #ffffff
maize, #ffffe8
maple_red_sapling, #ffffff
mulberry, #eae7eb
mulberry_leaves, #a1d28a
oak_lattice, #ffffff
paper_door, #d7ccc2
paper_wall, #cac6c2
paper_wall_flat, #fcfbf8
paper_wall_flowery, #edded7
paper_wall_window, #b9b5b1
rice, #ffffff
silk, #ffffff
silk_worm_eggs, #ffffff
silk_worm_hatchery, #e1fac9
silk_worms, #ffffff
spruce_lattice, #ffffff
tea_leaves, #e6e7e0
unfired_clay_roof_tile, #ffffff
unfired_clay_tile, #9ba1b4
warped_lattice, #ffffff
waxed_oak_door, #9a6f37
waxed_oak_lattice, #ffffff
waxed_oak_shutters, #ffe3bc
waxed_oak_small_shutters, #fffff0
white_little_flag, #ffffff
